Herein	входите (нем.)
Бабайка	большое весло, прикрепленное к лодке
Бабка	маленькая наковальня, на которой отбивают косу
Бесаги	дорожная двойная сума, которую носят на плече, гуцульские переметные сумы из кожи или грубой ткани
Бокор	плот
Верховина	горная часть Закарпатья
Владыка	архиерей
Войт	сельский староста
Газда	хозяин, богатей
Гати	широкие домотканые штаны из полотна
Голопуз	бедняк
Громада	мир, мирская сходка, собрание, общество, выбрать громадой - выбрать обществом
Гуня	верхняя шерстяная одежда, сермяга
Доня	дочка
Жандары	жандармы
Зозуля	кукушка
Кагла	отверстие в дымовой трубе, закрывающееся для удержания тепла
Карбованец	рубль
Коблина	налог, который в Австро-Венгрии крестьяне платили священнику
Колыба	землянка, в них раньше жили закарпатские лесорубы; пастушья хижина; пастуший шалаш
Крейцер	мелкая австрийская монета
Криничка	(укр.)колодец
Крисаня	гуцульская шляпа с пером
Крона	чехословацкая денежная единица
Кросна	ткацкий станок
Крысаня	гуцульская шляпа
Куратор	опекун, попечитель, церковный староста в католической церкви
Левы	сказочные великаны
Легинь	парень, молодец
Либоварош	Гусеград: Либа (по-венгерски) - гусь, варош - город
Лира	старинный украинский музыкальный инструмент
Литургия	род церковной службы, обедня
Лыцарь	рыцарь
Матка боска	божья матерь
Молодая и молодой	невеста и жених
Монисточко	маленькое ожерелье
Ногавицы	домотканые штаны из грубой шерсти
Нянько	отец, батюшка
Няньо	отец, родитель
Оберег	четыре столба-обережины и так поставленная на них крыша, что можно ее подымать и опускать. Хранят под оберегом сено
Оксамит	бархат
Опрышки	разбойники. В Закарпатье так иногда называли народных мстителей
Паленина, пал	гарь, место, выжженное в лесу под посев
Паленка	водка
Паровать	что-то готовить, варить
Пепеляник, Пепелюх,	сказочный герой, получивший свое имя от того, что в молодости все на пепле сидел, а затем совершал разные подвиги
Петек-губаня	домашняя верховинская одежда из грубой шерсти
Петровки	пост накануне одного из осенних церковных праздников
Плесо	небольшое озеро
Поветруля	сказочный образ, русалка
Полонина	высокогорный луг, пастбище в Карпатских горах
Постолы	самодельная резиновая или кожаная обувь
Ракия	водка, сливянка
Реклик	домотканый пиджак из грубой шерсти
Решетки	узор для вышивки
Рожон	заостренная на конце палка наподобие вертела
Рокотанец	лисий танец (венгер.)
Рубище	ветхая, изношенная одежда
Ружа	роза, розовый куст
Рушница	ружье
Рушничок	полотенце
Самотяжные (или самотяглые) санки	санки, на которых в Закарпатье свозят с гор сено, дрова
Сардак	верхняя крестьянская одежда, расшитая шнурками
Смерека	ель европейская
Сопилка	свирель
Стрижки	так закарпатские чабаны называют овец
Тартак	(венг.) лесопилка
Татош	волшебный двенадцатиногий конь
Ташка	дорожная кожаная сумка, украшенная медными пуговицами
Телесик	(русское—телепень)—от украинского «телесуватися» - качаться, покачиваться
Тенгерица	кукуруза
Тобивка	кожаная сума, носимая через плечо на ремне
Токан	мамалыга, крутая каша из кукурузной муки
Толока	выгон, поле, оставленное под пар, где пасут скот
Топанки	башмаки
Трембита	украинский народный духовой инструмент
Тридцатицентовая	тридцатисантиметровая
Угр	венгерская мера земли, равна 0,57 гектара
Фара	поповская усадьба
Филлер	мелкая венгерская монета
Халупник	безземельный крестьянин, имевший только хатенку-халупу
Холошни-дубленики	крестьянские зимние штаны из толстого белого сукна домашней работы
Цапина	жердь с железным крючком на конце
Черевики	башмаки
Черес	кожаный пояс, в котором носят деньги
Чоловиче	муж
Явор	дерево, белый клен. В украинских народных песнях символ козака
